"example_id","frame_id","english","georgian","context","usage_tip"
"loc_012","location_state_present","The phone is on the chair.","ტელეფონი სკამზეა.","Pointing something out.","Use -ზე for surface contact."
"loc_013","location_state_present","The book is in the bag.","წიგნი ჩანთაშია.","Looking for something.","Use -ში for inside/within."
"loc_014","location_state_present","I am at my friend's place.","მე მეგობართან ვარ.","Explaining where you are.","-თან is used for people and their place."
"loc_015","location_state_present","I am at the doctor’s.","მე ექიმთან ვარ.","At an appointment.","Professions work like people with -თან."
"loc_016","location_state_present","She is with her mother.","ის დედასთანაა.","Family context.","-თან can mean 'with' or 'at'."
"loc_017","location_state_present","The cafe is between the bank and the shop.","კაფე ბანკსა და მაღაზიას შორისაა.","Giving directions.","Use 'შორის' for 'between'."
"loc_018","location_state_present","The car is in front of the house.","მანქანა სახლის წინ არის.","Describing layout.","'წინ' means in front of."
"loc_019","location_state_present","The garden is behind the house.","ბაღი სახლის უკან არის.","Describing property.","'უკან' means behind."
"loc_020","location_state_present","The cat is under the table.","კატა მაგიდის ქვეშაა.","Looking for a pet.","'ქვეშ' means under."
"loc_021","location_state_present","The shelf is above the table.","თარო მაგიდის ზემოთაა.","Describing furniture.","'ზემოთ' means above."
"loc_022","location_state_present","The basement is below the house.","სარდაფი სახლის ქვემოთაა.","Explaining layout.","'ქვემოთ' means below."
"loc_023","location_state_present","I am outside.","მე გარეთ ვარ.","Quick update.","Some location words are standalone (no suffix)."
"loc_024","location_state_present","I am inside.","მე შიგნით ვარ.","Quick update.","'შიგნით' is 'inside'."
"loc_025","location_state_present","Are you at home?","შენ სახლში ხარ?","Checking availability.","Questions keep the same structure."
"loc_026","location_state_present","Where is it?","სად არის?","Looking for an object.","'სად არის?' is the standard 'where is it?'."
"loc_027","location_state_present","Where exactly are you guys?","თქვენ ზუსტად სად ხართ?","Finding friends.","Add 'ზუსტად' for precision."
"loc_028","location_state_present","I am not at home.","მე სახლში არ ვარ.","Clarifying.","Put 'არ' before the copula."
"loc_029","location_state_present","I am not at home, I am outside.","მე სახლში არ ვარ, გარეთ ვარ.","Talking to a courier.","Repeat the copula for contrast."
"ori_001","origin_state_present","I am from America.","მე ამერიკიდან ვარ.","Introductions.","Anchor: -დან marks 'from' with places."
"ori_002","origin_state_present","I am from Tbilisi.","მე თბილისიდან ვარ.","Introductions.","Cities work the same way with -დან."
"ori_003","origin_state_present","I am from Kutaisi.","მე ქუთაისიდან ვარ.","Introductions.","Swap the place; structure stays the same."
"ori_004","origin_state_present","I am from Europe.","მე ევროპიდან ვარ.","Background chat.","Continents work the same way."
"ori_005","origin_state_present","I am from the village.","მე სოფლიდან ვარ.","Talking about roots.","Some words change shape before -დან."
"ori_006","origin_state_present","You are from Tbilisi.","შენ თბილისიდან ხარ.","Small talk.","Copula changes with the person."
"ori_007","origin_state_present","She is from Tbilisi.","ის თბილისიდანაა.","Talking about someone.","3rd person often shortens to -აა."
"ori_008","origin_state_present","We are from Tbilisi.","ჩვენ თბილისიდან ვართ.","Group introduction.","Plural 'we' uses ვართ."
"ori_009","origin_state_present","You guys are from Tbilisi.","თქვენ თბილისიდან ხართ.","Group introduction.","Plural 'you' uses ხართ."
"ori_010","origin_state_present","They are from Tbilisi.","ისინი თბილისიდან არიან.","Group background.","Plural 'they' uses არიან."
"ori_011","origin_state_present","Are you from Tbilisi?","შენ თბილისიდან ხარ?","Small talk.","Yes/no questions keep the same structure."
"ori_012","origin_state_present","Where are you from?","საიდან ხარ?","Introductions.","Standard question: 'from where are you?'."
"ori_013","origin_state_present","Where is she from?","საიდანაა?","Asking about someone.","Short form is very common."
"ori_014","origin_state_present","Where are you guys from?","თქვენ საიდან ხართ?","Meeting a group.","Use plural 'you' + same question word."
"ori_015","origin_state_present","I’m not from Tbilisi.","მე თბილისიდან არ ვარ.","Correcting someone.","Put 'არ' right before the copula."
"ori_016","origin_state_present","He’s not from Tbilisi.","ის თბილისიდან არ არის.","Correcting information.","3rd person negation often uses 'არ არის'."
"ori_017","origin_state_present","Of course I’m from Tbilisi.","რა თქმა უნდა, თბილისიდან ვარ.","Local pride.","Adds emphasis without changing the frame."
"ori_018","origin_state_present","I am from here.","მე აქედან ვარ.","Local context.","'აქედან' already means 'from here'."
"ori_019","origin_state_present","She is from here.","ის აქედანაა.","Pointing someone out.","Same idea with 3rd person."
"ori_020","origin_state_present","I am from there.","მე იქიდან ვარ.","Pointing to a place.","'იქიდან' means 'from there'."
"ori_021","origin_state_present","This wine is from Kakheti.","ეს ღვინო კახეთიდანაა.","Describing products.","Use the same -დან pattern for product origin."
"ori_022","origin_state_present","This cheese is from Imereti.","ეს ყველი იმერეთიდანაა.","Talking about food.","Same product-origin frame."
"ori_023","origin_state_present","This honey is from Guria.","ეს თაფლი გურიიდანაა.","Shopping / gifts.","Region names work the same way."
"ori_024","origin_state_present","This tea is from China.","ეს ჩაი ჩინეთიდანაა.","Talking about origin.","Country names take -დან too."
"ori_025","origin_state_present","This coffee is from Colombia.","ეს ყავა კოლუმბიიდანაა.","Coffee chat.","Another country example for repetition."
"src_001","source_from_people_present","This gift is from Mariam.","ეს საჩუქარი მარიამისგანაა.","Opening a present.","Use -გან for 'from' with people (sender)."
"src_002","source_from_people_present","This gift is from Luka.","ეს საჩუქარი ლუკასგანაა.","Opening a present.","Names take -ს before -გან."
"src_003","source_from_people_present","This message is from Mariam.","ეს შეტყობინება მარიამისგანაა.","Checking your phone.","Same -გან pattern for messages."
"src_004","source_from_people_present","This email is from my boss.","ეს ელფოსტა ჩემი უფროსისგანაა.","Work context.","People nouns take -ის/-ს before -გან."
"src_005","source_from_people_present","This call is from my mom.","ეს ზარი დედაჩემისგანაა.","Phone ringing.","Family words work the same way."
"src_006","source_from_people_present","Who is this gift from?","ვისგან არის ეს საჩუქარი?","Curious about a sender.","Use 'ვისგან' = 'from whom'."
"src_007","source_from_people_present","Who is this message from?","ვისგან არის ეს შეტყობინება?","Looking at a message.","Same question structure with another noun."
"src_008","source_from_people_present","Who is this email from?","ვისგან არის ეს ელფოსტა?","Inbox check.","Keep word order; just swap the item."
"src_009","source_from_people_present","Is this gift from Mariam?","ეს საჩუქარი მარიამისგანაა?","Confirming a guess.","Yes/no questions keep the same structure."
"src_010","source_from_people_present","This isn’t from me.","ეს ჩემგან არ არის.","Clearing confusion.","Use 'ჩემგან' for 'from me' + 'არ არის' for negation."
"src_011","source_from_people_present","This is from you.","ეს შენგანაა.","Pointing to the sender.","Use 'შენგან' for 'from you' (often shortened in speech)."
"src_012","source_from_people_present","This is from him.","ეს მისგანაა.","Explaining who sent it.","Use 'მისგან' for 'from him'."
"src_013","source_from_people_present","This is from her.","ეს მისგანაა.","Explaining who sent it.","Same Georgian form works for 'his/her'."
"src_014","source_from_people_present","This is from us.","ეს ჩვენგანაა.","Group sender.","Use 'ჩვენგან' for 'from us'."
"src_015","source_from_people_present","This is from them.","ეს მათგანაა.","Group sender.","Use 'მათგან' for 'from them'."
"src_016","source_from_people_present","I got a message from Mariam.","მარიამისგან შეტყობინება მივიღე.","Telling a friend.","-გან phrase can lead the sentence as a source."
"src_017","source_from_people_present","I got a call from my mom.","დედაჩემისგან ზარი მივიღე.","Explaining why you’re distracted.","Same pattern: source first, then what you received."
"src_018","source_from_people_present","We got help from a friend.","მეგობრისგან დახმარება მივიღეთ.","Saying thanks.","Use -გან for ‘from someone’ even with abstract things."
"src_019","source_from_people_present","This idea is from Mariam.","ეს იდეა მარიამისგანაა.","Giving credit.","Use -გან to credit a person as the source."
"src_020","source_from_people_present","This information is from my friend.","ეს ინფორმაცია ჩემი მეგობრისგანაა.","Explaining how you know.","-გან works for information sources too."
"src_021","source_from_people_present","This recommendation is from my doctor.","ეს რეკომენდაცია ჩემი ექიმისგანაა.","Health advice.","Professions work like people with -გან."
"src_022","source_from_people_present","It’s not from me.","ეს ჩემგან არ არის.","Refusing blame.","Same as 'this isn’t from me'—very common."
"src_023","source_from_people_present","It’s from him, not from me.","ეს მისგანაა, ჩემგან არ არის.","Clarifying responsibility.","Repeat the source phrases for contrast."
"src_024","source_from_people_present","It’s from Mariam, not from Luka.","ეს მარიამისგანაა, ლუკასგან არ არის.","Correcting the sender.","Swap only the names; structure stays the same."
"neg_001","negation_core","I am not a doctor.","მე ექიმი არ ვარ.","Correcting a misunderstanding.","To negate ‘to be’ for ‘I’, put 'არ' before 'ვარ'."
"neg_002","negation_core","He is not a doctor.","ის ექიმი არ არის.","Correcting information.","To negate 3rd-person ‘is’, use 'არ არის'."
"neg_003","negation_core","We are not ready.","ჩვენ მზად არ ვართ.","Before leaving.","To negate ‘we are’, put 'არ' before 'ვართ'."
"neg_004","negation_core","I am not at home.","მე სახლში არ ვარ.","Answering a call.","To negate location, keep the place phrase and negate the copula."
"neg_005","negation_core","She is not in Tbilisi.","ის თბილისში არ არის.","Updating plans.","For 3rd person location negation, use 'არ არის'."
"neg_006","negation_core","They are not here.","ისინი აქ არ არიან.","Looking for someone.","To negate ‘they are’, use 'არ არიან'."
"neg_007","negation_core","I don’t know.","არ ვიცი.","Simple admission.","To negate a normal verb, put 'არ' directly before the verb."
"neg_008","negation_core","I don’t understand.","არ მესმის.","You didn’t catch what someone said.","'არ' + 'მესმის' means you didn’t understand what you heard."
"neg_009","negation_core","I don’t want it.","არ მინდა.","Declining an offer.","To negate 'want', use 'არ' before 'მინდა'."
"neg_010","negation_core","I don’t have time.","დრო არ მაქვს.","Busy / declining.","To negate 'have', place 'არ' right before 'მაქვს'."
"neg_011","negation_core","I don’t like it.","არ მომწონს.","Giving an opinion.","To negate 'like', place 'არ' right before 'მომწონს'."
"neg_012","negation_core","I’m not going.","არ მივდივარ.","Staying put.","To negate motion, put 'არ' directly before the motion verb."
"neg_013","negation_core","Aren’t you coming?","არ მოდიხარ?","Surprised question.","A negative question uses 'არ' and often sounds surprised or confirming."
"neg_014","negation_core","Aren’t you going?","არ მიდიხარ?","Double-checking plans.","Negative questions keep the same word order; just add 'არ'."
"neg_015","negation_core","Isn’t it here?","აქ არ არის?","Looking for an item.","Negative questions can mean “is it not here?” or “it isn’t here, right?”"
"neg_016","negation_core","Nobody is here.","აქ არავინაა.","Empty room.","With ‘nobody’ (არავინ), Georgian uses a negative verb form."
"neg_017","negation_core","Nothing is here.","აქ არაფერი არ არის.","Checking a place.","With ‘nothing’ (არაფერი), Georgian commonly uses double negation: ‘nothing’ + ‘not’."
"neg_018","negation_core","I’m not going anywhere.","მე არსად არ მივდივარ.","Refusing to leave.","With ‘nowhere’ (არსად), Georgian uses double negation: ‘nowhere’ + ‘not’."
"neg_019","negation_core","I never go there.","მე იქ არასდროს მივდივარ.","Talking about habits.","‘Never’ (არასდროს) normally pairs with a negative verb."
"neg_020","negation_core","Not even one person came.","არც ერთი ადამიანი არ მოვიდა.","Disappointed reaction.","‘Not even one’ uses ‘არც … არ …’ (reinforced negation)."
"neg_021","negation_core","Neither this nor that works.","არც ეს მუშაობს, არც ის.","Trying options.","‘Neither…nor…’ is ‘არც … არც …’."
"neg_022","negation_core","Not yet.","ჯერ არა.","Answering a question.","‘ჯერ არა’ is the standard short answer for ‘not yet’."
"neg_023","negation_core","I’m not ready yet.","ჯერ არ ვარ მზად.","Getting ready to leave.","To say ‘not yet’, use 'ჯერ' + 'არ' + verb."
"neg_024","negation_core","I don’t want it anymore.","აღარ მინდა.","Refusing again.","‘აღარ’ means ‘no longer / not anymore’ (stronger than plain ‘არ’)."
"neg_025","negation_core","He doesn’t live here anymore.","აქ აღარ ცხოვრობს.","Explaining a change.","Use ‘აღარ’ when something used to be true but is no longer true."
"neg_026","negation_core","I’m not waiting anymore.","აღარ ველოდები.","Stopping an action.","‘აღარ’ pairs naturally with ongoing actions: ‘I’m no longer doing it’."
"neg_027","negation_core","I can’t come (I’m unable).","ვერ მოვდივარ.","Explaining inability.","‘ვერ’ means ‘can’t’ (inability), not simple refusal."
"neg_028","negation_core","I’m not coming (I won’t).","არ მოვდივარ.","Refusing / choosing not to.","Use ‘არ’ for a simple negative choice; it doesn’t imply inability."
"neg_029","negation_core","I can’t see it.","ვერ ვხედავ.","Something is blocked.","‘ვერ’ is the natural negator for ability/perception (‘can’t’)."
"neg_030","negation_core","I don’t see it (I’m not seeing it / not looking).","არ ვხედავ.","Correcting someone.","Use ‘არ’ for plain negation; context decides whether it’s refusal or just ‘not’."
"adv_001","adverbial_manner_transform","He speaks well.","ის კარგად ლაპარაკობს.","Complimenting someone.","To say 'well/badly/how', Georgian often uses an adverb ending in -ად (e.g., კარგი → კარგად)."
"adv_002","adverbial_manner_transform","He behaves badly.","ის ცუდად იქცევა.","Complaining.","ცუდი (bad) becomes ცუდად (badly); place the adverb before the verb."
"adv_003","adverbial_manner_transform","She sings beautifully.","ის ლამაზად მღერის.","At a concert.","ლამაზი (beautiful) becomes ლამაზად (beautifully) for manner."
"adv_004","adverbial_manner_transform","They live quietly.","ისინი წყნარად ცხოვრობენ.","Describing neighbors.","წყნარი (quiet) becomes წყნარად (quietly)."
"adv_005","adverbial_manner_transform","He treats me coldly.","ის ცივად მექცევა.","Relationship talk.","ცივი (cold) becomes ცივად (coldly); it describes the manner of the action."
"adv_006","adverbial_manner_transform","She answered politely.","ის თავაზიანად უპასუხა.","Customer service.","Use an -ად adverb to describe the tone: 'politely' = თავაზიანად."
"adv_007","adverbial_manner_transform","Explain it simply.","მარტივად აგვიხსენი.","Asking for clarity.","To say 'simply', make an adverb: მარტივი → მარტივად."
"adv_008","adverbial_manner_transform","Don’t look at me strangely.","უცხოდ ნუ მიყურებ.","Emotional appeal.","Some words form the adverb with just -დ (e.g., უცხო → უცხოდ)."
"adv_009","adverbial_manner_transform","This is cheap (it costs cheaply).","ეს იაფად ღირს.","Shopping.","For prices, Georgian often uses an adverb with 'cost': იაფად ღირს = 'it costs cheaply'."
"adv_010","adverbial_manner_transform","This is expensive (it costs expensively).","ეს ძვირად ღირს.","Commenting on price.","Same pattern as 'cheap': ძვირად ღირს = 'it costs expensively'."
"adv_011","adverbial_manner_transform","Everything ended well.","ყველაფერი კარგად დამთავრდა.","Happy ending.","'კარგად' can describe the outcome/state of an event: 'it ended well'."
"adv_012","adverbial_manner_transform","I don’t feel well.","თავს კარგად არ ვგრძნობ.","Health complaint.","To negate, keep the adverb and put 'არ' right before the verb."
"adv_013","adverbial_manner_transform","I speak Georgian.","მე ქართულად ვლაპარაკობ.","Language skills.","To say 'in Georgian / in English', use the language in adverb form: ქართულად."
"adv_014","adverbial_manner_transform","Do you speak English?","შენ ინგლისურად ლაპარაკობ?","Asking a tourist.","Use the same 'language-as-adverb' pattern: ინგლისურად."
"adv_015","adverbial_manner_transform","Say it in Georgian.","ქართულად თქვი.","Asking for translation.","To request a language, use the adverb form + imperative: 'Say it in Georgian'."
"adv_016","adverbial_manner_transform","Is this written in Russian?","ეს რუსულად წერია?","Checking a label.","Use language adverb + 'written': რუსულად წერია = 'it’s written in Russian'."
"adv_017","adverbial_manner_transform","I understand Georgian.","ქართული მესმის.","Language ability.","To say you understand a language, Georgian often uses the language as a noun: 'Georgian is understandable to me'."
"adv_018","adverbial_manner_transform","I don’t understand German.","გერმანული არ მესმის.","Language barrier.","For comprehension, use the language noun + 'არ მესმის' (not '…-ად')."
"adv_019","adverbial_manner_transform","He works as a doctor.","ის ექიმად მუშაობს.","Describing a job.","To say 'as a [role]', put the role in -ად: ექიმად = 'as a doctor'."
"adv_020","adverbial_manner_transform","I work as a teacher.","მე მასწავლებლად ვმუშაობ.","Job description.","Some roles use -ლად as the 'as-a-role' form (e.g., მასწავლებლად)."
"adv_021","adverbial_manner_transform","She works as a director.","ის დირექტორად მუშაობს.","Corporate context.","Titles/roles commonly take -ად after 'work as': დირექტორად."
"adv_022","adverbial_manner_transform","I take this as a gift.","ამას საჩუქრად ვიღებ.","Polite acceptance.","Use -ად to mean 'as': საჩუქრად = 'as a gift'."
"adv_023","adverbial_manner_transform","Don’t treat me like a child.","ბავშვად ნუ მთვლი.","Argument.","-ად can mean 'as / like': literally 'don’t count me as a child'."
"adv_024","adverbial_manner_transform","He sees me as a friend.","ის მეგობრად მთვლის.","Relationship talk.","With 'consider/count', -ად marks the label: მეგობრად = 'as a friend'."
"adv_025","adverbial_manner_transform","They appointed him director.","ისინი დირექტორად დანიშნეს.","Work news.","With 'appoint', the job title goes in -ად: 'appointed as director'."
"adv_026","adverbial_manner_transform","They chose him president.","ისინი პრეზიდენტად აირჩიეს.","Election context.","With 'choose/elect', the title goes in -ად: 'elected as president'."
"adv_027","adverbial_manner_transform","They declared her the winner.","ის გამარჯვებულად გამოაცხადეს.","Competition.","With 'declare', the resulting status goes in -ად: 'declared as winner'."
"adv_028","adverbial_manner_transform","The caterpillar turned into a butterfly.","მუხლუხო პეპლად იქცა.","Nature documentary.","With 'turn into' (იქცა), the result goes in -ად: 'turned into a butterfly'."
"adv_029","adverbial_manner_transform","He doesn’t speak well.","ის კარგად არ ლაპარაკობს.","Critique.","Negation rule: put 'არ' right before the verb, not before the adverb."
"adv_030","adverbial_manner_transform","How do I say this?","ეს როგორ ვთქვა?","Asking for help.","Use 'როგორ' to ask 'how' (method/manner): 'how should I say this?'."
"yn_001","yes_no_questions_core","Are you ready?","მზად ხარ?","Checking on a friend.","In Georgian, yes/no questions usually keep the same word order; in speech you raise your pitch at the end (in writing you add ?)."
"yn_002","yes_no_questions_core","Is he ready?","მზადაა?","Waiting for someone.","In everyday Georgian, 3rd-person 'is' often shortens to -ა/-ია attached to the previous word (მზადაა?)."
"yn_003","yes_no_questions_core","Is she at home?","სახლშია?","Calling a friend.","A common 3rd-person short form is -ა attached to the location phrase: სახლშია? = 'is (she) at home?'."
"yn_004","yes_no_questions_core","Are they here?","აქ არიან?","Looking for people.","To ask a yes/no question, you can keep the statement form and make it a question with intonation/?"
"yn_005","yes_no_questions_core","Are you tired?","დაღლილი ხარ?","Checking condition.","Adjective + copula works like a statement; it becomes a question with intonation/?"
"yn_006","yes_no_questions_core","Is this yours?","ეს შენია?","Finding an item.","For 'yours/mine/his', Georgian often uses a short 'is' ending: შენია? literally means 'is yours?'."
"yn_007","yes_no_questions_core","Is it far from here?","აქედან შორს არის?","Asking for directions.","To ask 'is it far?', Georgian often says 'from here' (აქედან) + far (შორს) + 'is' (არის)."
"yn_008","yes_no_questions_core","Is it open?","ღიაა?","Checking a shop.","Short forms are common in questions: ღიაა? is a natural way to ask 'is it open?'."
"yn_009","yes_no_questions_core","Is it raining?","წვიმს?","Checking weather.","Weather verbs can be a full question by themselves: say the verb + intonation/?"
"yn_010","yes_no_questions_core","You are coming, right?","ხომ მოდიხარ?","Confirming plans.","Use ხომ at the start to confirm an assumption (like 'right?' / 'you are, aren’t you?')."
"yn_011","yes_no_questions_core","You know this, right?","ხომ იცი?","Checking knowledge.","Use ხომ when you expect the answer to be 'yes' and want confirmation."
"yn_012","yes_no_questions_core","You are okay, right?","ხომ კარგად ხარ?","Checking on a friend.","ხომ makes the question softer and more caring than a flat 'Are you okay?'."
"yn_013","yes_no_questions_core","He is at home, right?","ხომ სახლშია?","Double-checking.","ხომ also works with 3rd person and short forms like -ა: სახლშია."
"yn_014","yes_no_questions_core","You aren’t angry, are you?","ხომ არ ბრაზობ?","Smoothing things over.","Use ხომ არ to ask a gentle negative question ('you’re not X, right?') without sounding accusatory."
"yn_015","yes_no_questions_core","Yes (standard).","კი.","Answering.","კი is the neutral, standard word for 'yes'."
"yn_016","yes_no_questions_core","Yes (casual).","ჰო.","Answering.","ჰო is a very common casual 'yes' used with friends."
"yn_017","yes_no_questions_core","No.","არა.","Answering.","არა is the standard word for 'no'."
"yn_018","yes_no_questions_core","Of course.","რა თქმა უნდა.","Strong agreement.","რა თქმა უნდა is a common phrase meaning 'of course / certainly'."
"yn_019","yes_no_questions_core","I think so.","მგონი კი.","Unsure agreement.","To sound unsure, use მგონი ('I think/it seems') + კი ('yes')."
"yn_020","yes_no_questions_core","I don’t think so.","მგონი არა.","Unsure refusal.","To sound unsure, use მგონი ('I think/it seems') + არა ('no')."
"yn_021","yes_no_questions_core","Do you have time?","დრო გაქვს?","Asking a favor.","Georgian doesn’t use 'do/does' in questions; just ask 'time you-have?' with intonation/?"
"yn_022","yes_no_questions_core","Do you want coffee?","ყავა გინდა?","Offering a drink.","For 'want' questions, keep the same word order: 'coffee you-want?' + intonation/?"
"yn_023","yes_no_questions_core","Can you help me?","შეგიძლია დამეხმარო?","Asking for help.","შეგიძლია…? literally asks about ability ('are you able to…?') and is a polite way to request help."
"yn_024","yes_no_questions_core","Do you speak English?","ინგლისურად ლაპარაკობ?","To a tourist.","Even with verbs like 'speak', Georgian still asks yes/no questions without 'do': just the sentence + intonation/?"
"yn_025","yes_no_questions_core","Aren’t you coming?","არ მოდიხარ?","Surprise.","A negative yes/no question is just the normal question with არ placed before the verb."
"yn_026","yes_no_questions_core","Don’t you want it?","არ გინდა?","Surprise/Check.","Use არ + the verb to ask 'don’t you…?' (often sounds surprised or checking)."
"yn_027","yes_no_questions_core","Really?","მართლა?","Reaction.","Standalone words can be full questions; მართლა? means 'really?'"
"yn_028","yes_no_questions_core","Seriously?","სერიოზულად?","Reaction.","Adverbs can be used alone as reaction questions; სერიოზულად? means 'seriously?'."
"wh_001","wh_questions_core","Who is this?","ეს ვინ არის?","Asking about a person.","ვინ means 'Who'. It acts as the subject here."
"wh_002","wh_questions_core","Who is coming?","ვინ მოდის?","Waiting for someone.","Use ვინ when asking who is doing the action."
"wh_003","wh_questions_core","Who called you?","ვინ დაგირეკა?","Checking a missed call.","Even in the past tense, ვინ usually stays the same form for the subject."
"wh_004","wh_questions_core","Who are you waiting for?","ვის ელოდები?","Meeting someone.","When 'Who' is the target (object) of the action, change ვინ to ვის."
"wh_005","wh_questions_core","Who are you asking?","ვის ეკითხები?","Conversation.","Use ვის because the person is receiving the question."
"wh_006","wh_questions_core","Whose is this?","ეს ვისია?","Finding an owner.","To ask 'Whose', combine ვის (who-dative) with the copula ending -ია."
"wh_007","wh_questions_core","What is this?","ეს რა არის?","Asking about an object.","რა means 'What' (Subject form)."
"wh_008","wh_questions_core","What is happening?","რა ხდება?","Confused by noise.","Use რა when 'What' is the subject of the event."
"wh_009","wh_questions_core","What do you want?","რა გინდა?","Asking desires.","With 'want', the thing wanted stays in the simple form რა."
"wh_010","wh_questions_core","What are you doing?","რას აკეთებ?","Checking on someone.","When 'What' is the direct object of an action (like doing), change რა to რას."
"wh_011","wh_questions_core","What are you saying?","რას ამბობ?","Clarification.","'Saying' acts on an object, so use the form რას."
"wh_012","wh_questions_core","What are you looking at?","რას უყურებ?","Noticing a stare.","'Looking at' targets something, so use რას."
"wh_013","wh_questions_core","What kind is it?","როგორია?","Asking description.","To ask 'what kind / what is it like', use როგორი."
"wh_014","wh_questions_core","Where are you?","სად ხარ?","Phone call.","სად means 'Where' (Location)."
"wh_015","wh_questions_core","Where is the bathroom?","სად არის ტუალეტი?","Asking for directions.","Standard pattern: სად + verb + noun."
"wh_016","wh_questions_core","Where are you going?","სად მიდიხარ?","Asking destination.","Colloquially, სად is used for both 'Where at' and 'Where to'."
"wh_017","wh_questions_core","Where are you coming from?","საიდან მოდიხარ?","Meeting on the street.","To ask 'from where', use საიდან."
"wh_018","wh_questions_core","When are you coming?","როდის მოდიხარ?","Making plans.","როდის means 'When'."
"wh_019","wh_questions_core","When does it start?","როდის იწყება?","Checking a schedule.","Place the question word immediately before the verb."
"wh_020","wh_questions_core","Since when?","როდის აქეთ?","Expressing surprise.","როდის აქეთ is a common phrase for 'since when' or 'how long has this been happening'."
"wh_021","wh_questions_core","Why are you crying?","რატომ ტირი?","Consoling someone.","რატომ means 'Why'."
"wh_022","wh_questions_core","Why did you do that?","რატომ გააკეთე?","Asking for reason.","Standard structure: რატომ + verb."
"wh_023","wh_questions_core","Why aren't you going?","რატომ არ მიდიხარ?","Checking intention.","For negative questions, put არ right after რატომ."
"wh_024","wh_questions_core","What for? (Why?)","რისთვის?","Asking purpose.","რისთვის literally means 'for what' (purpose), whereas რატომ asks for the cause."
"wh_025","wh_questions_core","How are you?","როგორ ხარ?","Greeting.","როგორ means 'How' (in what manner)."
"wh_026","wh_questions_core","How do you say it?","როგორ იტყვი?","Translation help.","Use როგორ to ask about method or way."
"wh_027","wh_questions_core","How much does it cost?","რა ღირს?","Shopping.","Literal: 'What (რა) is it worth?'. This is the most common way to ask price."
"wh_028","wh_questions_core","How much time do we have?","რამდენი დრო გვაქვს?","Hurrying.","რამდენი means 'How much' or 'How many'."
