"frame_id","stage_id","frame_name","slot_map","usage_summary","deep_grammar"
"screeve_perfect_series_active","13_screeves_active","Screeve Ladder: Perfect Series","[Perfect Verb] × [Persons]","Systematically learn perfect/result/evidential flavor.","Perfect encodes ‘result now’ / ‘apparently’; key for natural storytelling."
"screeve_pluperfect_series_active","14_screeves_active","Screeve Ladder: Pluperfect","[Pluperfect Verb] × [Persons]","Systematically learn ‘had done’.","Useful for sequencing events; stabilizes tense control."
"inversion_past_core","15_screeves_inversion","Inversion Verbs in Past","[Experiencer] + [Thing] + [Past Form]","Past forms for want/like/have families.","Prevents ‘I can only say it in present’ plateau for inversion verbs."
"inversion_future_core","15_screeves_inversion","Inversion Verbs in Future","[Experiencer] + [Thing] + [Future Form]","Future forms for want/like/have families.","Same idea: make future productive, not memorized."
"imperative_core","16_mood","Imperatives","[Verb-IMP]","Give commands; include ‘let’s…’ patterns.","Imperatives are their own morphology; isolate to avoid confusion with statements."
"prohibitive_core","16_mood","Prohibitives (Don’t…)","ნუ + [Verb]","Tell someone not to do something.","Negated commands behave differently than plain negation."
"subjunctive_present_future_core","17_subjunctive","Subjunctive / Irrealis (Present/Future)","[Irrealis Verb] in purpose/content/if-clauses","Cover ‘that I do / so that I do / if I were to…’.","This is the engine behind planning, goals, and many connectors."
"subjunctive_past_irrealis_core","17_subjunctive","Irrealis Past / Counterfactual (Core)","[Would/If] minimal set","Cover counterfactual-ish forms (minimal but explicit).","Enough to avoid being blocked by hypotheticals."
"coordination_core","18_clause_glue","Coordination (and/or/but)","[Clause A] + და/ან/მაგრამ + [Clause B]","Join thoughts without subordination.","Core algebra for longer speech early."
"because_reason_core","18_clause_glue","Reason (because/therefore)","[Cause] + რადგან/იმიტომ რომ + [Effect] (+ ამიტომ)","Explain causes and conclusions.","Pick 1–2 connectors and drill hard; huge mileage."
"conditionals_real_core","18_clause_glue","Conditionals (Real)","თუ + [Clause], (მაშინ) + [Clause]","Express ‘if…, then…’ for real possibilities.","Forces tense/mood choices; accelerates screeve intuition."
"purpose_intent_core","18_clause_glue","Purpose / So that","[Clause] + იმისთვის, რომ + [Goal Clause]","Express purpose (‘so that / in order to’).","Strongly interacts with subjunctive/irrealis."
"reported_speech_core","18_clause_glue","Reported Speech / Content Clauses","[Say/Think Verb] + რომ + [Clause]","Say ‘I think that… / he said that…’.","Backbone for complex speech; unlocks narrative/argument."
"comparison_degree","18_clause_glue","Comparison (Degree)","[X] + [Y]-ზე + [Adj/Adv]","Say ‘X is better/more than Y’.","-ზე doubles as ‘on’ and ‘than’ in comparisons; high leverage."
