word_key,key,img_key,EnglishWord,PartOfSpeech,GeorgianWord,hint,priority,group,ExampleEnglish1,ExampleGeorgian1,tips
i_dont_want,i_dont_want,i_dont_want,I don’t want,phrase,არ მინდა,phrase,1,phrases,I don't want to go,წასვლა არ მინდა,არ = no / not.
have_inanimate,have_inanimate_inf,have_inanimate,having/ to have (inanimate),verb-inf,ქონა,verb,1,verbs,Having a passport is necessary,პასპორტის ქონა აუცილებელია,"""have"" has animate and inanimate forms in Georgian. Things are inanimate, people and animals are animate."
have_inanimate,have_inanimate_p2s,have_inanimate,You have (inanimate),verb-p2s,შენ გაქვს,verb,1,verbs,You have time,შენ გაქვს დრო,
have_inanimate,have_inanimate_p3s,have_inanimate,He/She/It has (inanimate),verb-p3s,მას აქვს,verb,1,verbs,She has a book,მას აქვს წიგნი,
have_inanimate,have_inanimate_p1p,have_inanimate,We have (inanimate),verb-p1p,ჩვენ გვაქვს,verb,1,verbs,We have an idea,ჩვენ გვაქვს იდეა,
have_inanimate,have_inanimate_p2p,have_inanimate,You (pl) have (inanimate),verb-p2p,თქვენ გაქვთ,verb,1,verbs,You have money,თქვენ გაქვთ ფული,
have_inanimate,have_inanimate_p3p,have_inanimate,They have (inanimate),verb-p3p,მათ აქვთ,verb,1,verbs,They have problems,მათ აქვთ პრობლემები,
lets_go,lets_go,lets_go,Let’s go,phrase,წავედით,phrase,1,phrases,Let's go home,წავედით სახლში,"Literally ""We went"" (past tense). Georgian often uses the past tense for immediate future action."
do_you_have,do_you_have,do_you_have,Do you have…? (inanimate),phrase,გაქვთ...?,phrase,1,phrases,Do you have water?,წყალი გაქვთ?,The -თ suffix indicates plurality or politeness.
where_is,where_is,where_is,Where is…?,phrase,სად არის...?,question_word,1,phrases,Where is the bank?,სად არის ბანკი?,"Words beginning with სა- often relate to a place or location. სად = where, სახლი = house, საოფისე = office, საკლასო = classroom"
toilet,toilet,toilet,toilet,noun,ტუალეტი,location,1,phrases,toilet paper,ტუალეტის ქაღალდი,
how_are_you_informal,how_are_you_informal,how_are_you_informal,How are you? (informal),phrase,როგორ ხარ?,polite_phrases,1,phrases,"Hello, how are you?","გამარჯობა, როგორ ხარ?","Literally ""How are you?"". ხარ is second person singular."
how_are_you_formal,how_are_you_formal,how_are_you_formal,How are you? (formal),phrase,როგორ ხართ?,polite_phrases,1,phrases,"Good evening, how are you?","საღამო მშვიდობისა, როგორ ხართ?",The -თ suffix makes it plural or polite (formal).
im_fine_thank_you,im_fine_thank_you,im_fine_thank_you,I'm fine,phrase,კარგად ვარ,polite_phrases,1,phrases,"I'm fine, and you?","კარგად ვარ, თქვენ?","Literally ""I am well/goodly"". კარგად is an adverb."
i_dont_understand,i_dont_understand,i_dont_understand,I don't understand,phrase,არ მესმის,communication,1,phrases,I don't understand the question,არ მესმის შეკითხვა,"მესმის = ""I hear"" or ""I understand"""
want,want_inf,want,wanting/ to want,verb-inf,ნდომა,verb,1,verbs,wanting to rest is natural,დასვენების ნდომა ბუნებრივია,"Verbs of desire often put the subject in the dative case (""me"" becomes ""to me"")."
want,want_p1s,want,I want,verb-p1s,მე მინდა,verb,1,verbs,I want water,მე მინდა წყალი,"Literally ""To me it is wanted""."
want,want_p2s,want,You want,verb-p2s,შენ გინდა,verb,1,verbs,You want coffee,შენ გინდა ყავა,
want,want_p3s,want,He/She/It wants,verb-p3s,მას უნდა,verb,1,verbs,He wants to go,მას უნდა წასვლა,
want,want_p1p,want,We want,verb-p1p,ჩვენ გვინდა,verb,1,verbs,We want peace,ჩვენ გვინდა მშვიდობა,
want,want_p2p,want,You (pl) want,verb-p2p,თქვენ გინდათ,verb,1,verbs,You want food,თქვენ გინდათ საჭმელი,
want,want_p3p,want,They want,verb-p3p,მათ უნდათ,verb,1,verbs,They want to sleep,მათ უნდათ ძილი,
whats_your_name,whats_your_name,whats_your_name,What's your name?,phrase,რა გქვია?,introductions,1,phrases,My name is...,მე მქვია...,"გქვია = ""you are called"""
and_you_informal,and_you_informal,and_you_informal,And you? (informal),phrase,და შენ?,polite_phrases,1,phrases,I'm fine. And you?,კარგად. და შენ?,
and_you_formal,and_you_formal,and_you_formal,And you? (formal),phrase,და თქვენ?,polite_phrases,1,phrases,I'm fine. And you?,კარგად. და თქვენ?,"თქვენ is the polite/plural """"you""""."
how_much_does_this_cost,how_much_does_this_cost,how_much_does_this_cost,How much does this cost?,phrase,რა ღირს ეს?,shopping,1,phrases,"Excuse me, how much does this cost?","უკაცრავად, რა ღირს ეს?","ღირს relates to ""worth"" or ""value""."
im_from_america,im_from_america,im_from_america,I’m from America,phrase,მე ამერიკიდან ვარ,phrase,1,phrases,"I'm from America, from New York","მე ამერიკიდან ვარ, ნიუ-იორკიდან","-დან = ""from"""
im_learning_georgian,im_learning_georgian,im_learning_georgian,I’m learning Georgian,phrase,მე ვსწავლობ ქართულს,phrase,1,phrases,I'm learning the Georgian language,მე ვსწავლობ ქართულ ენას,Root is სწავლა (learning/teaching).
as_you_wish,as_you_wish,as_you_wish,As you wish (want),phrase,როგორც გინდა,phrase,1,phrases,"Okay, as you wish","კარგი, როგორც გინდა",
i_am_ready,i_am_ready,i_am_ready,I am ready,phrase,მზად ვარ,phrase,1,phrases,I am ready to go,მზად ვარ წასასვლელად,-ად = “in the state of.”
have_animate,have_animate_inf,have_animate,having/ to have (animate),verb-inf,ყოლა,verb,1,verbs,having friends is important,მეგობრების ყოლა მნიშვნელოვანია,"Inanimate objects can sometimes take the animate verb form when personified. For example, მანქანა (car) can use either verb depending on context."
have_animate,have_animate_p1s,have_animate,I have (animate),verb-p1s,მე მყავს,verb,1,verbs,I have a brother,მე მყავს ძმა,
have_animate,have_animate_p2s,have_animate,You have (animate),verb-p2s,შენ გყავს,verb,1,verbs,You have a cat,შენ გყავს კატა,
have_animate,have_animate_p3s,have_animate,He/She/It has (animate),verb-p3s,მას ჰყავს,verb,1,verbs,She has a friend,მას ჰყავს მეგობარი,
have_animate,have_animate_p1p,have_animate,We have (animate),verb-p1p,ჩვენ გვყავს,verb,1,verbs,We have a child,ჩვენ გვყავს შვილი,
have_animate,have_animate_p2p,have_animate,You (pl) have (animate),verb-p2p,თქვენ გყავთ,verb,1,verbs,You have a guest,თქვენ გყავთ სტუმარი,
have_animate,have_animate_p3p,have_animate,They have (animate),verb-p3p,მათ ჰყავთ,verb,1,verbs,They have two dogs,მათ ჰყავთ ორი ძაღლი,
are_you_ready,are_you_ready,are_you_ready,Are you ready?,phrase,მზად ხარ?,phrase,1,phrases,Are you ready yet?,მზად ხარ უკვე?,
if_you_could,if_you_could,if_you_could,If you could/ if you can,phrase,თუ შეგიძლია,phrase,1,phrases,If you could help me?,თუ შეგიძლია დამეხმარო?,"Root is ძალა (power/ability). Literally ""if you have the power""."
let_it_be,let_it_be,let_it_be,let it be,phrase,იყოს,phrase,1,phrases,"Okay, let it be","კარგი, იყოს","Common and versatile phrase for acceptance, permission, or letting go."
in_general,in_general,in_general,in general,adverb,ზოგადად,adverb,1,phrases,"In general, I agree","ზოგადად, ვეთანხმები",
in_one_month,in_one_month,in_one_month,in one month,phrase,ერთ თვეში,time,1,phrases,See you in one month,ერთ თვეში შევხვდებით,"თვე = ""month"", -ში = ""in"""
in_one_week,in_one_week,in_one_week,in one week,phrase,ერთ კვირაში,time,1,phrases,in one week's time,ერთ კვირაში,"კვირა = ""week"", -ში = ""in"""
in_one_year,in_one_year,in_one_year,in one year,phrase,ერთ წელიწადში,time,1,phrases,I will return in one year,ერთ წელიწადში დავბრუნდები,"წელი = ""year"", -ში = ""in"""
one_month_ago,one_month_ago,one_month_ago,one month ago,phrase,ერთი თვის წინ,time,1,phrases,I was here one month ago,ერთი თვის წინ ვიყავი აქ,"Use წინ after a time phrase to mean ago, and შემდეგ to mean in (from now) or after"
know,know_inf,know,knowing/ to know,verb-inf,ცოდნა,verb,1,verbs,knowing the answer helps,პასუხის ცოდნა გეხმარება,
know,know_p1s,know,I know,verb-p1s,მე ვიცი,verb,1,verbs,I know everything,მე ყველაფერი ვიცი,
know,know_p2s,know,You know,verb-p2s,შენ იცი,verb,1,verbs,You know the way,შენ იცი გზა,
know,know_p3s,know,He/She/It knows,verb-p3s,მან იცის,verb,1,verbs,He knows the truth,მან იცის სიმართლე,
know,know_p1p,know,We know,verb-p1p,ჩვენ ვიცით,verb,1,verbs,We know the secret,ჩვენ ვიცით საიდუმლო,
know,know_p2p,know,You (pl) know,verb-p2p,თქვენ იცით,verb,1,verbs,You know the rules,თქვენ იცით წესები,
know,know_p3p,know,They know,verb-p3p,მათ იციან,verb,1,verbs,They know the problem,მათ იციან პრობლემა,
one_week_ago,one_week_ago,one_week_ago,one week ago,phrase,ერთი კვირის წინ,time,1,phrases,I arrived one week ago,ერთი კვირის წინ ჩამოვედი,"Use წინ after a time phrase to mean ago, and შემდეგ to mean in (from now) or after"
one_year_ago,one_year_ago,one_year_ago,one year ago,phrase,ერთი წლის წინ,time,1,phrases,I moved here one year ago,ერთი წლის წინ გადმოვედი აქ,"Use წინ after a time phrase to mean ago, and შემდეგ to mean in (from now) or after"
i_lost_my_bag,i_lost_my_bag,i_lost_my_bag,I lost my bag,phrase,ჩემი ჩანთა დავკარგე,phrase,1,phrases,"Help, I lost my bag!","დამეხმარეთ, ჩემი ჩანთა დავკარგე!",
from_six_until_nine,from_six_until_nine,from_six_until_nine,from six o'clock until nine o'clock,phrase,ექვსიდან ცხრამდე,time,1,phrases,Open from six until nine,ღიაა ექვსიდან ცხრამდე,"-დან = from, -მდე = to / until"
stop_here,stop_here,stop_here,stop here,phrase,აქ გაჩერდი,phrase,1,phrases,"Stop here, please","აქ გააჩერეთ, თუ შეიძლება",გაჩერდი is a command. Root is გაჩერება (stopping).
travel,travel,travel,travel,noun,მოგზაურობა,transportation,1,phrases,I love to travel,მე მიყვარს მოგზაურობა,"მო- often ""toward"" or ""along"", გზა = ""road"", -ობა turns a word into an abstract noun like -ness, -hood, or -ship in English."
traveller,traveller,traveller,traveller,noun,მოგზაური,people,1,phrases,I am a traveller,მე ვარ მოგზაური,"მო- = ""toward"" or ""along"", გზა = ""road"", -ური forms adjectives or nouns meaning ""related to"" or ""of"". Literally ""one of the road"" → traveler."
travel_p1s,travel_p1s,travel_p1s,I travel,verb-p1s,მე ვმოგზაურობ,verb,1,verbs,I travel often,მე ხშირად ვმოგზაურობ,
say,say_inf,say,saying,verb-inf,თქმა,verb,1,verbs,"of course (literally: ""what saying there must be"")",რა თქმა უნდა,
say,say_p1s,say,I say,verb-p1s,მე ვამბობ,verb,1,verbs,I say yes,მე ვამბობ დიახ,
say,say_p2s,say,You say,verb-p2s,შენ ამბობ,verb,1,verbs,You say no,შენ ამბობ არა,
say,say_p3s,say,He/She/It says,verb-p3s,ის ამბობს,verb,1,verbs,He says hello,ის ამბობს გამარჯობა,
say,say_p1p,say,We say,verb-p1p,ჩვენ ვამბობთ,verb,1,verbs,We say thank you,ჩვენ ვამბობთ მადლობა,
say,say_p2p,say,You (pl) say,verb-p2p,თქვენ ამბობთ,verb,1,verbs,What do you say?,რას ამბობთ?,
say,say_p3p,say,They say,verb-p3p,ისინი ამბობენ,verb,1,verbs,They say it's good,ისინი ამბობენ კარგია,
its_easy,its_easy,its_easy,it's easy,phrase,ადვილია,phrase,1,phrases,The exam is easy,გამოცდა ადვილია,Root is ადვილი. -ა = is.
its_hard,its_hard,its_hard,it's hard,phrase,რთულია,phrase,1,phrases,The work is hard,სამუშაო რთულია,Root is რთული. -ა = is.
not_yet,not_yet,yet,Not yet,phrase,ჯერ არა,time,1,phrases,"No, not yet","არა, ჯერ არა",
perhaps,perhaps,perhaps,perhaps/ probably,adverb,ალბათ,adverb,1,phrases,Perhaps you are right,ალბათ მართალი ხარ,
im_sorry_didnt_hear,im_sorry_didnt_hear,im_sorry_didnt_hear,I’m sorry? (didn't hear),phrase,ბატონო?,phrase,1,phrases,"I'm sorry, one more time","ბატონო, კიდევ ერთხელ","ბატონო means sir, and ქალბატონო madam. While you generally need to distinguish, ბატონო can be used for ""pardon?"" when addressing either sex. "
one_minute,one_minute,one_minute,one minute,phrase,ერთი წუთი,time,1,phrases,"One minute, please","ერთი წუთით, თუ შეიძლება",
of_course,of_course,of_course,of course,phrase,რა თქმა უნდა,phrase,1,phrases,"Yes, of course","დიახ, რა თქმა უნდა",
sure_no_rush,sure_no_rush,sure_no_rush,No rush,phrase,არ იჩქარო,phrase,1,phrases,"No rush, take your time","არ იჩქარო, ნელა ნელა",understand
understand,understand_p1s,understand,I understand,verb-p1s,მე ვიგებ,verb,1,verbs,I understand Georgian,მე ვიგებ ქართულს,"მე ვიგებ = general understanding. გავიგე = ""I understood"" (past). მესმის = ""I hear"" (perception)."
understand,understand_p2s,understand,You understand,verb-p2s,შენ იგებ,verb,1,verbs,You understand everything very quickly.,შენ იგებ ყველაფერს ძალიან სწრაფად?,
understand,understand_p3s,understand,He/She/It understands,verb-p3s,ის იგებს,verb,1,verbs,She understands Georgian,ის ქართულს იგებს,
understand,understand_p1p,understand,We understand,verb-p1p,ჩვენ ვიგებთ,verb,1,verbs,We understand the situation,ჩვენ ვიგებთ სიტუაციას.,
understand,understand_p2p,understand,You (pl) understand,verb-p2p,თქვენ იგებთ,verb,1,verbs,Do you understand me?,თქვენ მე იგებთ?,
understand,understand_p3p,understand,They understand,verb-p3p,ისინი იგებენ,verb,1,verbs,They don't understand,ისინი არ იგებენ,
what_would_you_like_to_drink_formal,what_would_you_like_to_drink_formal,what_would_you_like_to_drink_formal,What would you like to drink? (formal),phrase,რას დალევთ?,restaurant,1,phrases,"Water, please.","წყალს, თუ შეიძლება.",The -თ suffix indicates politeness (formal) or plural.
come_here,come_here,come_here,come here,phrase,მოდი აქ,phrase,1,phrases,Come here for a moment.,მოდი აქ ერთი წუთით.,მო- = toward the speaker
go_there,go_there,go_there,go there,phrase,მიდი იქ,phrase,1,phrases,Go there now.,მიდი იქ ახლა.,მი- = away from speaker
right_here,right_here,right_here,right here,phrase,აი აქ,directions,1,phrases,Stop right here.,გაჩერდი აი აქ.,"აი = ""Look"" or ""Voila"". Used when pointing at something."
look_here_is,look_here_is,look_here_is,look! / here is,interjection,აი,phrase,1,phrases,"Look, here is the book!","აი, წიგნი!","Draws attention to something visible. Equivalent to ""Here is..."""
at_breakfast,at_breakfast,at_breakfast,at breakfast,phrase,საუზმეზე,food,1,phrases,What do you eat at breakfast?,რას ჭამ საუზმეზე?,"Root: უზმ- (fasting). Literally ""time after fasting""."
at_lunch,at_lunch,at_lunch,at lunch,phrase,სადილზე,food,1,phrases,I'll see you at lunch.,სადილზე გნახავ.,Root: დილა (morning). -ზე = at/on.
at_dinner,at_dinner,at_dinner,at dinner,phrase,ვახშამზე,food,1,phrases,We're going out at dinner.,ვახშამზე გავდივართ.,"-ზე suffix means """"on"""" or """"at"""" (time/location)."
go,go_inf,go,going,verb-inf,წასვლა,verb,1,verbs,it's time for going home,სახლში წასვლის დროა,"წა- = away from speaker, სვლა = movement"
go,go_p1s,go,I go,verb-p1s,მე მივდივარ,verb,1,verbs,I go to work.,მე სამსახურში მივდივარ.,მი- indicates motion away from the speaker or toward a target.
go,go_p2s,go,You go,verb-p2s,შენ მიდიხარ,verb,1,verbs,You go home.,შენ სახლში მიდიხარ.,
go,go_p3s,go,He/She/It goes,verb-p3s,ის მიდის,verb,1,verbs,He goes to school.,ის სკოლაში მიდის.,
go,go_p1p,go,We go,verb-p1p,ჩვენ მივდივართ,verb,1,verbs,We go together.,ჩვენ ერთად მივდივართ.,
go,go_p2p,go,You (pl) go,verb-p2p,თქვენ მიდიხართ,verb,1,verbs,Where are you going?,სად მიდიხართ?,
go,go_p3p,go,They go,verb-p3p,ისინი მიდიან,verb,1,verbs,They go on vacation.,ისინი შვებულებაში მიდიან.,
we_go_to_dinner,we_go_to_dinner,we_go_to_dinner,we go to dinner,phrase,ვახშამზე მივდივართ,phrase,1,phrases,We go to dinner at eight.,ვახშამზე რვაზე მივდივართ.,
in_one_hour,in_one_hour,in_one_hour,in one hour,phrase,ერთ საათში,time,1,phrases,I'll be back in one hour.,ერთ საათში დავბრუნდები.,-ში = in / inside.
in_two_hours,in_two_hours,in_two_hours,in two hours,phrase,ორ საათში,time,1,phrases,The movie starts in two hours.,ფილმი ორ საათში იწყება.,
necessary,necessary,necessary,necessary/ essential,adjective,აუცილებელი,adjective,1,phrases,Is it necessary?,ეს აუცილებელია?,
lets_go_together,lets_go_together,lets_go_together,let’s go together,phrase,ერთად წავიდეთ,phrase,1,phrases,Let's go to the cinema together.,კინოში ერთად წავიდეთ.,"The -ეთ ending indicates """"let's"""" (optative mood)."
i_see_it,i_see_it,i_see_it,I see it,phrase,მე ვხედავ მას,phrase,1,phrases,"Yes, I see it now.","დიახ, ახლა ვხედავ.","Specific to visual sight. Different from ""understanding""."
can_i_help,can_i_help,can_i_help,Can I help? (you),phrase,შემიძლია დაგეხმარო?,phrase,1,phrases,Can I help you clean the table?,შემიძლია მაგიდის გაწმენდაში დაგეხმარო?,Root is დახმარება (help).
by_foot,by_foot,by_foot,by foot,phrase,ფეხით,transportation,1,phrases,I came by foot.,ფეხით მოვედი.,"-ით suffix = ""by means of"" or ""with""."
come,come_inf,come,coming,verb-inf,მოსვლა,verb,1,verbs,coming early is better,ადრიან მოსვლა ჯობს,"მო- = toward speaker, სვლა = movement"
come,come_p1s,come,I come,verb-p1s,მე მოვდივარ,verb,1,verbs,I come from far away.,მე შორიდან მოვდივარ.,
come,come_p2s,come,You come,verb-p2s,შენ მოდიხარ,verb,1,verbs,Are you coming with us?,ჩვენთან ერთად მოდიხარ?,
come,come_p3s,come,He/She/It comes,verb-p3s,ის მოდის,verb,1,verbs,He comes home late.,ის სახლში გვიან მოდის.,
come,come_p1p,come,We come,verb-p1p,ჩვენ მოვდივართ,verb,1,verbs,We come here every year.,ჩვენ აქ ყოველ წელს მოვდივართ.,
come,come_p2p,come,You (pl) come,verb-p2p,თქვენ მოდიხართ,verb,1,verbs,When are you coming?,როდის მოდიხართ?,
come,come_p3p,come,They come,verb-p3p,ისინი მოდიან,verb,1,verbs,They come by car.,ისინი მანქანით მოდიან.,
lets_go_by_bus,lets_go_by_bus,lets_go_by_bus,let’s go by bus,phrase,ავტობუსით წავიდეთ,phrase,1,phrases,"Let's go by bus, it's cheaper.","ავტობუსით წავიდეთ, უფრო იაფია.",-ით = by means of (the bus).
one_moment_please,one_moment_please,one_moment_please,one moment please,phrase,ერთი წუთით თუ შეგიძლია,phrase,1,phrases,"One moment, please.","ერთი წუთით, თუ შეიძლება.",თუ შეიძლება = if possible.
black,black,black,black,adjective,შავი,color,1,general,Do you want black coffee?,შავი ყავა გინდა?,
restaurant,restaurant,restaurant,restaurant,noun,რესტორანი,location,1,general,a Georgian restaurant,ქართული რესტორანი,
near,near,near,near,preposition,თან ახლოს,preposition,1,general,near the house,სახლთან ახლოს,Requires the dative case (სახლ-ს) + -თან (at/with).
breakfast,breakfast,breakfast,breakfast,noun,საუზმე,food,1,general,Breakfast is ready.,საუზმე მზადაა.,"Root: უზმ- (fasting), Prefix: სა- (“time/place of”). Literal meaning: time after fasting"
pen,pen,pen,pen,noun,კალამი,object,1,general,a blue pen,ლურჯი კალამი,
i_got_it,i_got_it,i_got_it,I got it / understood,phrase,გავიგე,phrase,2,phrases,"Ah, now I get it!","აა, ახლა გავიგე!","Aorist (past) tense of გაგება. Literally ""I understood""."
live,live_inf,live,living/ life/ existence,verb-inf,ცხოვრება,verb,1,verbs,living in Georgia is interesting,საქართველოში ცხოვრება საინტერესოა,"-ება suffixes turn roots into verbal nouns (similar to -ing, or -ness)"
live,live_p1s,live,I live,verb-p1s,მე ვცხოვრობ,verb,1,verbs,I live in Tbilisi,მე ვცხოვრობ თბილისში,
live,live_p2s,live,You live,verb-p2s,შენ ცხოვრობ,verb,1,verbs,Where do you live?,სად ცხოვრობ?,
live,live_p3s,live,He/She/It lives,verb-p3s,ის ცხოვრობს,verb,1,verbs,He lives with his parents,ის მშობლებთან ერთად ცხოვრობს,
live,live_p1p,live,We live,verb-p1p,ჩვენ ვცხოვრობთ,verb,1,verbs,We live here,ჩვენ აქ ვცხოვრობთ,
live,live_p2p,live,You (pl) live,verb-p2p,თქვენ ცხოვრობთ,verb,1,verbs,You live in a big house,თქვენ დიდ სახლში ცხოვრობთ,
live,live_p3p,live,They live,verb-p3p,ისინი ცხოვრობენ,verb,1,verbs,They live in a village,ისინი სოფელში ცხოვრობენ,
ten,ten,ten,10,noun,ათი,numbers,1,general,ten lari,ათი ლარი,
twelve,twelve,twelve,12,noun,თორმეტი,numbers,1,general,twelve o'clock,თორმეტი საათი,Construction: Ten (ათ) + two (ორ) + more (მეტი).
partner,partner,partner,girlfriend/boyfriend,noun,შეყვარებული,people,1,general,my girlfriend/boyfriend,ჩემი შეყვარებული,"Literally ""one who is loved""."
afternoon_time,afternoon_time,afternoon_time,afternoon,noun,შუადღე,time,1,general,Let’s meet in the afternoon,შუადღეს შევხვდეთ,Compound word: შუა (middle) + დღე (day).
tomorrow,tomorrow,tomorrow,tomorrow,adverb,ხვალ,time,1,general,I’ll call you tomorrow,ხვალ დაგირეკავ,
this,this,this,this,pronoun,ეს,pronoun,1,general,this is good,ეს კარგია,
big,big,big,big/large,adjective,დიდი,adjective,1,general,a big house,დიდი სახლი,
can_i_see_the_menu,can_i_see_the_menu,can_i_see_the_menu,can I see the menu?,phrase,შეიძლება მენიუ?,restaurant,2,phrases,"Of course, here you are.","რა თქმა უნდა, ინებეთ.","Short for ""Is the menu possible?"" (მენიუ შეიძლება?)."
work,work_inf,work,working,verb-inf,მუშაობა,verb,1,verbs,working every day is tiring,ყოველდღე მუშაობა დამღლელია,Root is მუშა (worker). -ობა creates abstract noun.
work,work_p1s,work,I work,verb-p1s,მე ვმუშაობ,verb,1,verbs,I work a lot,მე ბევრს ვმუშაობ,
work,work_p2s,work,You work,verb-p2s,შენ მუშაობ,verb,1,verbs,Do you work here?,აქ მუშაობ?,
work,work_p3s,work,He/She/It works,verb-p3s,ის მუშაობს,verb,1,verbs,He works in a bank,ის ბანკში მუშაობს,
work,work_p1p,work,We work,verb-p1p,ჩვენ ვმუშაობთ,verb,1,verbs,We work together,ჩვენ ერთად ვმუშაობთ,
work,work_p2p,work,You (pl) work,verb-p2p,თქვენ მუშაობთ,verb,1,verbs,Where do you work?,სად მუშაობთ?,
work,work_p3p,work,They work,verb-p3p,ისინი მუშაობენ,verb,1,verbs,They work from home,ისინი სახლიდან მუშაობენ,
menu,menu,menu,menu,noun,მენიუ,restaurant,1,general,the restaurant menu,რესტორნის მენიუ,
in,in,in,in,preposition,-ში,preposition,1,general,in the car,მანქანაში,Postposition added to the end of a noun. თბილისში = In Tbilisi.
happy,happy,happy,happy,adjective,ბედნიერი,adjective,1,general,I am happy,მე ბედნიერი ვარ,Root is ბედი (fate/luck).
because,because,because,because,conjunction,რადგან,conjunction,1,general,because I know,რადგან ვიცი,
yet,yet,yet,yet,adverb,ჯერ,time,1,general,not yet,ჯერ არა,"Used for ""yet"", ""still"", or ""first""."
brother,brother,brother,brother,noun,ძმა,people,1,general,my brother is older,ჩემი ძმა უფროსია,
table,table,table,table,noun,მაგიდა,home,1,general,The book is on the table,წიგნი მაგიდაზეა,
what_do_you_recommend,what_do_you_recommend,what_do_you_recommend,what do you recommend?,phrase,რას მირჩევთ?,restaurant,2,phrases,I recommend Khachapuri.,ხაჭაპურს გირჩევთ.,"The ""მ-"" prefix indicates the action affects ""me"" (recommending to me)."
be_past,be_past_p1s,be,being/ to be,verb-p1s-past,ყოფნა,verb,1,verbs,I am glad to be here,აქ ყოფნა მიხარია,
be_past,be_past_p2s,be,you were,verb-p2s-past,შენ იყავი,verb,1,verbs,Where were you?,სად იყავი?,
be_past,be_past_p3s,be,he/she/it was,verb-p3s-past,ის იყო,verb,1,verbs,It was good,კარგი იყო,
be_past,be_past_p1p,be,we were,verb-p1p-past,ჩვენ ვიყავით,verb,1,verbs,We were together,ჩვენ ერთად ვიყავით,
be_past,be_past_p2p,be,you (pl) were,verb-p2p-past,თქვენ იყავით,verb,1,verbs,You were there,თქვენ იქ იყავით,
be_past,be_past_p3p,be,they were,verb-p3p-past,ისინი იყვნენ,verb,1,verbs,They were friends,ისინი მეგობრები იყვნენ,
